"word","phonetic","meaning_zh","example","tags"
"a","ə; e","一（个）；每一（个）","We have a problem.","CET4luan_2"
"abandon","ə'bændən","丢弃；放弃，抛弃","How could she abandon her own child?","CET4luan_2"
"abandonment","ə'bændənmənt","放弃","...memories of her father's complete abandonment of her.","CET6_1"
"ability","ə'bɪləti","能力；能耐；本领","the ability to walk","CET4luan_2"
"able","'ebl","有能力的；出色的","I’ve always wanted to be able to speak Japanese.","CET4luan_2"
"abnormal","æbˈnɔːrml","不正常的；变态的","abnormal behaviour","CET4luan_2"
"abnormally","æb'nɔ:məlɪ","不正常的","Both were big at birth but were not abnormally large.","CET6_1"
"aboard","ə'bɔrd","在船（车）上；上船","The plane crashed, killing all 200 people aboard.","CET4luan_2"
"abolition",",æbə'lɪʃən","废除","The abolition of slavery in Brazil and the Caribbean closely followed the pattern of the United States.","CET6_1"
"about","ə'baʊt","关于；在…周围","a book about politics","CET4luan_2"
"above","ə'bʌv","在…上面；高于","He lived in a flat above the shop.","CET4luan_2"
"abroad","ə'brɔd","（在）国外","I’ve never lived abroad before.","CET4luan_2"
"absence","'æbsns","缺席，不在场；缺乏","Her work involved repeated absences from home.","CET4luan_2"
"absent","ˈæbsənt","不在场的；缺乏的","plans to force absent fathers to pay child maintenance","CET4luan_2"
"absolute","'æbsəlut","纯粹的；绝对的","I have absolute confidence in her.","CET4luan_2"
"absolutely","'æbsəlutli","完全地；绝对地","He made his reasons for resigning absolutely clear.","CET4luan_2,CET6_1"
"absorb","æbˈsɔrb; æbˈzɔrb; əbˈsɔrb","吸收；中文释义；使专心","Plants absorb nutrients from the soil.","CET4luan_2"
"abstract","'æbstrækt","抽象的","By the age of seven, children are capable of thinking in abstract terms.","CET4luan_2,CET6_1"
"abundant","ə'bʌndənt","丰富的；大量的","an abundant supply of fresh water","CET4luan_2"
"abuse","ə'bjus","滥用；虐待","Williams abused his position as Mayor to give jobs to his friends.","CET4luan_2,CET6_1"
"academic",",ækə'dɛmɪk","学院的；学术的","He possessed no academic qualifications.","CET4luan_2"
"academy","ə'kædəmi","专科院校；私立中学","a military academy","CET4luan_2"
"accelerate","əkˈsɛləˌret","（使）加快；促进","measures to accelerate the rate of economic growth","CET4luan_2,CET6_1"
"acceleration","ək'sɛlə'reʃən","加速；加速度","an acceleration in the rate of inflation","CET4luan_2"
"accent","'æksɛnt","口音，腔调；重音","He had a strong Irish accent","CET4luan_2"
"accept","ækˈsɛpt; əkˈsɛpt","接受；同意","Rick accepted her offer of coffee.","CET4luan_2"
"acceptable","ək'sɛptəbl","可接受的，合意的","Students who achieve an acceptable standard will progress to degree studies.","CET4luan_2"
"acceptance","ək'sɛptəns","接受，验收；承认","He wrote a letter of acceptance (=  a letter in which you agree to accept a job, university place etc  ) to the university.","CET4luan_2"
"access","'æksɛs","通道，入口","Access is by means of a small door on the right.","CET4luan_2,CET6_1"
"accessary","æk'sɛsəri","同谋，从犯","an accessary to murder","CET4luan_2"
